name,ring,quadrant,isNew,description
EventBridge,Adopt,Tools,FALSE,<p>EventBridge is a serverless eventbus which we use as the foundation of our event based system on the OP API</p>
Storybook,Adopt,languages-and-frameworks,FALSE,<p>We use storybook to display our components in a kind of catalogue to view their various states and instructions for use.</p>
Mock service worker,Trial,languages-and-frameworks,FALSE,<p>Mock service worker allows us to create a stubbed service worker which we can use in tests to intercept requests and control the response our app receives when making API calls. </p>
Joi,Hold,languages-and-frameworks,FALSE,"<p>Traditionally we have used Joi to validate our the requests to the API, we are moving away from this towards using Celebrate. So any new validations on the API should be using celebrate</p><p>We are still using Joi to validate our forms on the Frontend</p>"
Supertest,Adopt,languages-and-frameworks,FALSE,<p>Test framework for E2E testing our API to use alongside Jest tests</p>
Datadog,Adopt,Tools,FALSE,"<p>Datadog is an observability service for cloud-scale applications, providing monitoring of servers, databases, tools, and services, through a SaaS-based data analytics platform. <a href=""https://www.notion.so/omnipresent/DataDog-BE-Monitoring-1e1f82db00d64d658f414e28f87f3bda"">Notion Page</a>"
Sentry,Adopt,Tools,FALSE,"<p>Sentry monitors our front end application <a href=""https://www.notion.so/omnipresent/Sentry-FE-Monitoring-8ce843eeb3354c74a952484691ad33ad"">Notion Page</a>"
CircleCI,Adopt,Platforms,FALSE,<p>CircleCi is our go to CI/CD pipeline which tests and deploys our code on every push to the Github repo</p>
Celebrate,Adopt,languages-and-frameworks,FALSE,"<p><a href=""https://github.com/arb/celebrate"">Celebrate</a> is a middleware based validation library which wraps the Joi validation library, we are moving away from vanilla Joi to using Celebrate for our BE validation.</p> "
Sonarcloud,Adopt,Tools,FALSE,"<p>SonarCloud is our much loved static code quality service. <a href=""https://www.notion.so/omnipresent/SonarCloud-Static-code-analysis-a97ca33a730345bfac72bf39cc8dab30"">Notion Page</a>"
Github,Adopt,Platforms,FALSE,"<p>Our <a href=""https://github.com/OmnipresentGroup"">Github</a> repro houses all our production code"
Design system,Trial,Techniques,FALSE,<p>In order to keep our components and styling consistent across our apps and speed up development of new features we will be looking at creating a design system which can be used across FE apps</p>
Microfrontends,Assess,Techniques,FALSE,<p>Currently our OP FE is a monolith app. We are already struggling with many teams commiting to the same repo and as we scale this will only increase. We also have different security needs for our different apps/user types and so we will start to investigate how we could move to a microfrontend approach for our frontend apps.</p>
Contentful,Adopt,Platforms,FALSE,<p>We use contentful as the backing CMS for all of our country specific data.</p>
Continuous delivery,Adopt,Techniques,FALSE,"<p>Continuous delivery is a software engineering approach in which teams produce software in short cycles, ensuring that the software can be reliably released at any time and, when releasing the software, without doing so manually. It aims at building, testing, and releasing software with greater speed and frequency."
Zapier,Adopt,Tools,FALSE,"<p>We use Zapier as an automation workflow tool, we trigger Zapier webhooks through our API. We can then configure automated workflows that respond to a specific webhook being triggered. This is useful when integrating with external systems that we aren't ready to fully integrate into the platform.</p>"
Feature flags,Adopt,Techniques,FALSE,<p>We use feature flags to separate the release of features to customers from deployment of our code which allows us to get closer to true trunk based development and ship small slices of value</p>
Lighthouse,Assess,Tools,FALSE,"<p><a href=""https://developers.google.com/web/tools/lighthouse/"">Light House</a> is an open-source, automated tool for improving the quality of web pages. <a href=""https://www.notion.so/omnipresent/Accessibility-a11y-494680ab1fe44f7d9e7d3e0b86111c0c"">Notion Page</a>"
Axe,Assess,Tools,FALSE,"<p><a href=""https://github.com/dequelabs/axe-core"">Axe Core</a> is an accessibility testing engine for websites and other HTML-based user interfaces. <a href=""https://www.notion.so/omnipresent/Accessibility-a11y-494680ab1fe44f7d9e7d3e0b86111c0c"">Notion Page</a>"
BrowserStack,Trial,Tools,FALSE,"<p>Testing on 3000+ real devices and browsers. <a href=""https://www.browserstack.com"">Webpage</a>"
Product Element Maps,Trial,Techniques,FALSE,"<p>It is an artefact (a map, or list, or table…) that identifies the dimensions or elements of a product. <a href=""https://www.notion.so/omnipresent/Product-Coverage-Outline-How-To-21d8e17e26e34396a2b115a80652407c"">Notion Page</a>"
Exploratory Testing,Adopt,Techniques,FALSE,"<p>Exploratory testing is an approach to software testing that is concisely described as simultaneous learning, test design and test execution. <a href=""https://www.notion.so/omnipresent/Exploratory-Testing-904e53a5c32540c1b6c7aef37858fae5"">Notion Page</a>"
RiskStorming,Trial,Techniques,FALSE,"<p>RiskStorming is a collaborative exercise that focuses on identifying risks that impact the quality aspects of your product and helps you to mitigate them. <a href=""https://www.notion.so/omnipresent/RiskStorming-c3b6b330d45847bdbd8ae432fe562994"">Notion Page</a>"
Testing Quadrants,Adopt,Techniques,FALSE,"<p>They are a framework for thinking about, and discussing, what types of testing might be needed. Different tests have different purposes and the quadrants allow us to think more holistically about software testing. <a href=""https://www.notion.so/omnipresent/Testing-Quadrants-Extended-Version-8eed7f51a3694cc7a084cb36ffc6a489"">Notion Page</a>"
Quality Culture Transition Guide,Assess,Techniques,FALSE,<p>A guide to help teams and departments move towards a quality culture
Four key metrics,Adopt,Techniques,FALSE,"<p>To measure software delivery performance, more and more organizations are turning to the <strong>four key metrics</strong> as defined by the <a href=""https://www.devops-research.com/"">DORA research</a> program: change lead time, deployment frequency, mean time to restore (MTTR) and change fail percentage. This research and its statistical analysis have shown a clear link between high delivery performance and these metrics; they provide a great leading indicator for how a team, or even a whole delivery organization, is doing.</p>

<p>We're still big proponents of these metrics, but we've also learned some lessons since we first started monitoring them. And we're increasingly seeing misguided measurement approaches with tools that help teams measure these metrics based purely on their continuous delivery (CD) pipelines. In particular when it comes to the stability metrics (MTTR and change fail percentage), CD pipeline data alone doesn't provide enough information to determine what a deployment failure with real user impact is. Stability metrics only make sense if they include data about real incidents that degrade service for the users.</p>

<p>And as with all metrics, we recommend to always keep in mind the ultimate intention behind a measurement and use them to reflect and learn. For example, before spending weeks to build up sophisticated dashboard tooling, consider just regularly taking the <a href=""https://www.devops-research.com/quickcheck.html"">DORA quick check</a> in team retrospectives. This gives the team the opportunity to reflect on which <a href=""https://www.devops-research.com/research.html#capabilities"">capabilities</a> they could work on to improve their metrics, which can be much more effective than overdetailed out-of-the-box tooling.</p>"
The ten P's of Testability,Assess,Techniques,FALSE,"<p>They are a way of thinking about the testability of a product from people to production <a href=""https://www.notion.so/omnipresent/Testability-c1d031f6e08d42f1b32acafbab76799b"">Notion Page</a>"
Visual Task Analysis,Assess,Techniques,FALSE,"<p>Is a fairly new approach to help visualise the types of tests you might need across your product and how to mitigate those risk using the layers of your architecture as a guide <a href=""https://www.notion.so/omnipresent/Visual-Task-Analysis-for-understanding-tests-2c86af51b1724d2b99bc322f438ee650"">Notion Page</a>"
Scope Discovery and Alignment (ScoDA),Assess,Techniques,FALSE,"<p>A meeting format that is designed to help with Scope (information), Discovery (Questions | Answers), and Alignment (Understanding) <a href=""https://www.notion.so/omnipresent/Scope-Discovery-and-Alignment-ScoDA-b006cdc3548f4359bafa549c5559fcb4"">Notion Page</a>"
Modern Testing Principles,Adopt,Techniques,FALSE,"<p>A set of <a href=""https://www.moderntesting.org/"">principles</a> to guide modern testing practices."
Retrospectives,Adopt,Techniques,FALSE,<p>We value the opportunity to learn and adapt
Blameless Postmortems,Adopt,Techniques,FALSE,"<p>The goal of a blameless post-mortem is to discover what happened in an incident, to understand how to prevent a similar incident from happening in the future. <a href=""https://www.notion.so/omnipresent/Post-Mortems-ab202d62cd6c40a7b7e4b9024823f8fa"">Notion Page</a>"
Postman,Adopt,Tools,FALSE,"<p><a https://www.notion.so/omnipresent/Postman-API-Platform-132f06eff6d84e128e9bacf30fc65893"">Postman</a> is a API platform for building and using API's <a href=""https://www.notion.so/omnipresent/Postman-API-Platform-132f06eff6d84e128e9bacf30fc65893"">Notion Page</a>"
Test-driven development (TDD),Assess,Techniques,FALSE,"<p>Test Driven Development (TDD) is software development approach in which test cases are developed to specify and validate what the code will do. In simple terms, test cases for each functionality are created and tested first and if the test fails then the new code is written in order to pass the test and making code simple and bug-free."
Guilds | Communities of Practice,Adopt,Techniques,FALSE,"<p>Communities of practice (Guilds) regularly bring together people who share areas of interest or concerns. They are loose structures that support their members and the organisation's development of those areas. <a href=""https://www.notion.so/omnipresent/Guilds-Communities-of-Practice-f713611a3da847f58130807f98fafa0c"">Notion Page</a>"
Tableau,Trial,Techniques,FALSE,"<p><a href=""https://www.tableau.com/"">Tableau</a> helps people see and understand data"
Snowflake,Trial,Techniques,FALSE,"<p><a href=""https://www.snowflake.com/"">Snowflake</a> is your solution for data warehousing, data lakes, data engineering, data science, data application development, and securely sharing and consuming shared data."
Airflow,Trial,Techniques,FALSE,"<p><a href=""https://airflow.apache.org/"">Airflow</a> is a platform created by the community to programmatically author, schedule and monitor workflows."
CASL,Adopt,languages-and-frameworks,FALSE,"<p>We use <a href=""https://casl.js.org/v5/en/guide/intro"">CASL</a> for our auth middleware on the BE to help with RBAC and ensure our users are authorised for the action they are attempting to take</p>"
AWS API gateway,Adopt,Tools,FALSE,<p>We use AWS API gateway to expose our lambda API to the internet and provide a singe endpoint for our FE to interact with. In the future we will use an API gateway as teh entry point to our mesh of microservices.</p>
